Date_Calcul;Type_Optimisation;Rendement_Journalier_Moyen_Pct;Volatilite_Journaliere_Pct;Value_at_Risk_95_Pct;Expected_Shortfall_Pct
2026-07-04;Max_Sharpe;0.0617;0.824;-5.58;-7.37
2026-07-04;Max_Sharpe;0.0606;0.8173;-5.47;-7.17
2026-07-04;Max_Sharpe;0.1762;2.3927;-16.09;-20.54
2026-07-04;Max_Sharpe;0.235;3.195;-20.8;-26.54
2026-07-04;Max_Sharpe;0.235;3.195;-21.02;-26.33
2026-07-04;Max_Sharpe;0.0596;0.8007;-5.37;-7.14
2026-07-21;Max_Sharpe;0.0593;0.8065;-5.65;-7.44
2026-07-25;Max_Sharpe;0.0598;0.7992;-5.34;-7.06
2026-07-25;Max_Sharpe;0.0593;0.7989;-5.31;-7.16
2026-07-25;Max_Sharpe;0.0593;0.7989;-5.41;-7.16
2026-07-25;Max_Sharpe;0.0593;0.7989;-5.37;-6.98
2026-07-27;Max_Sharpe;0.0565;0.7828;-5.19;-6.93
2026-07-28;Max_Sharpe;0.0583;0.795;-5.32;-7.05
2026-07-29;Max_Sharpe;0.0603;0.8065;-5.38;-7.09
